1	2	1
3	4	1
5	6	1
7	8	1
9	10	1
11	12	1
12	13	1
14	13	1
15	16	1
17	16	1
18	19	1
20	19	1
21	19	1
22	18	1
23	24	1
25	26	1
24	27	1
23	27	1
25	27	1
26	27	1
28	29	1
30	31	1
32	31	1
30	33	1
32	33	1
34	28	1
16	35	1
36	37	1
38	39	1
40	41	1
42	43	1
44	45	1
46	47	1
47	45	1
46	44	1
46	45	1
47	44	1
48	49	1
50	51	1
24	25	1
23	25	1
27	52	1
25	52	1
53	54	1
55	56	1
57	58	1
59	52	1
60	61	1
62	63	1
64	65	1
36	66	1
67	68	1
69	68	1
70	71	1
72	73	1
74	1	1
75	1	1
76	1	1
77	1	1
78	1	1
79	1	1
80	1	1
81	1	1
82	1	1
83	1	1
84	1	1
85	1	1
86	1	1
87	1	1
88	1	1
89	1	1
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
58	1	1
95	1	1
96	1	1
97	1	1
98	1	1
99	1	1
100	1	1
101	1	1
102	1	1
103	1	1
104	1	1
105	1	1
106	1	1
107	1	1
108	1	1
109	1	1
110	1	1
111	1	1
112	1	1
65	1	1
113	1	1
61	1	1
114	1	1
115	1	1
116	1	1
117	1	1
118	1	1
119	1	1
120	1	1
121	1	1
122	1	1
123	124	1
125	101	1
102	101	1
126	127	1
128	129	1
130	131	1
132	133	1
134	135	1
136	137	1
56	138	1
139	140	1
141	142	1
143	144	1
145	144	1
146	147	1
148	146	1
149	150	1
151	50	1
50	152	1
117	153	1
41	40	1
5	154	1
155	154	1
149	156	1
157	156	1
158	156	1
158	149	1
115	159	1
160	159	1
161	162	1
163	164	1
165	166	1
167	136	1
168	169	1
170	171	1
172	171	1
173	174	1
175	176	1
176	177	1
175	177	1
178	179	1
180	137	1
181	137	1
182	183	1
184	185	1
186	185	1
184	186	1
187	185	1
188	123	1
189	132	1
190	132	1
190	189	1
130	133	1
191	133	1
190	131	1
130	190	1
192	193	1
194	195	1
196	143	1
197	143	1
198	143	1
199	143	1
196	144	1
200	201	1
200	144	1
201	144	1
202	203	1
204	203	1
205	203	1
206	203	1
207	203	1
208	209	1
123	210	1
17	211	1
204	202	1
212	203	1
213	203	1
214	210	1
215	210	1
216	123	1
217	123	1
218	166	1
88	166	1
60	166	1
218	165	1
88	165	1
60	165	1
219	220	1
221	220	1
101	126	1
1	222	1
223	224	1
225	226	1
225	227	1
228	229	1
230	231	1
231	232	1
230	102	1
56	233	1
234	116	1
235	116	1
236	116	1
116	237	1
238	235	1
239	135	1
240	241	1
56	18	1
181	136	1
136	242	1
137	242	1
243	242	1
244	243	1
244	245	1
246	230	1
230	101	1
247	248	1
230	103	1
101	103	1
233	55	1
173	249	1
250	116	1
251	252	1
253	254	1
255	256	1
257	256	1
258	259	1
260	261	1
261	262	1
262	113	1
213	143	1
29	143	1
212	143	1
213	29	1
263	134	1
264	265	1
266	267	1
34	268	1
269	270	1
112	271	1
101	111	1
102	111	1
230	111	1
272	273	1
230	221	1
274	11	1
275	276	1
277	275	1
278	277	1
278	275	1
277	276	1
279	280	1
281	280	1
280	282	1
279	282	1
281	282	1
283	284	1
285	68	1
286	287	1
288	289	1
288	116	1
17	288	1
17	289	1
52	26	1
52	290	1
290	59	1
23	59	1
23	290	1
24	290	1
27	290	1
157	149	1
291	292	1
293	294	1
60	294	1
293	60	1
295	296	1
297	298	1
298	295	1
297	295	1
299	224	1
299	223	1
50	300	1
301	300	1
117	302	1
293	61	1
294	61	1
5	155	1
255	257	1
303	257	1
304	257	1
305	306	1
307	306	1
308	123	1
203	219	1
246	309	1
246	310	1
101	310	1
246	101	1
311	312	1
313	50	1
314	151	1
315	242	1
316	242	1
314	242	1
317	242	1
242	313	1
317	315	1
313	315	1
314	316	1
317	316	1
317	314	1
313	314	1
151	51	1
318	319	1
246	320	1
102	246	1
102	321	1
102	322	1
230	321	1
230	322	1
101	321	1
101	322	1
309	321	1
309	323	1
309	294	1
309	322	1
309	177	1
180	136	1
324	67	1
325	326	1
327	325	1
328	329	1
68	329	1
330	331	1
330	308	1
331	308	1
332	333	1
308	332	1
333	308	1
333	330	1
332	330	1
333	331	1
332	331	1
308	326	1
334	326	1
330	326	1
330	334	1
308	334	1
335	246	1
102	309	1
230	309	1
101	309	1
103	309	1
102	103	1
246	103	1
101	310	1
102	310	1
246	310	1
